adWord,0
appShow,0
approve,1
businessZones,
city,西安
companyFullName,西安小喵信息科技有限公司
companyId,146956
companyLabelList,"['股票期权', '五险一金', '年底双薪', '专项奖金']"
companyLogo,i/image/M00/60/C7/CgqKkVf6HzSAL04AAAAns-vAQ2w838.png
companyShortName,小喵科技
companySize,15-50人
createTime,2017-11-14 18:55:07
deliver,0
district,高新技术产业开发区
education,本科
explain,
financeStage,A轮
firstType,开发/测试/运维类
formatCreateTime,18:55发布
gradeDescription,
imState,today
industryField,"移动互联网,硬件"
industryLables,[]
isSchoolJob,0
jobNature,全职
job_bt,职位描述：【岗位职责】1.独立完成项目的设计开发工作并跟进项目生产问题；2.跟踪模具开发，保证模具能够稳定生产出符合需要的产品；3.能对项目进行风险评估，能对项目的成本核算控制；4.梳理结构设计流程，制订设计标准，总结并持续改进。【任职条件】1.本科以上学历，机械设计/材料加工/模具等相关专业；2.3~5年以上消费电子产品（手机、平板电脑、蓝牙音箱等3C产品 ）堆叠和结构设计经验；3.熟练运用相关结构设计工具，如：PRO/E、CAD、UG等软件；4.对常用五金材料和塑胶材料表面处理工艺有深刻认识；5.独自设计、跟进过多款已量产消费电子产品；6.熟悉结构件生产加工流程、检测标准和方法；7.善于跟代工厂协调沟通产品生产，具有一定的驻厂经验；8.有良好的团队协作意识，工作积极主动，极强的学习能力，对产品设计精益求精。
lastLogin,1510656806000
pcShow,0
plus,
positionAdvantage,"五险一金,股票期权,午餐补助,BAT背景"
positionId,2695016
positionLables,"['硬件开发', '模具设计']"
positionName,高级结构工程师
promotionScoreExplain,
publisherId,6048989
salary,8k-15k
score,0
secondType,硬件开发
workYear,3-5年
